location,city,local,parameter,value,unit
FR15039,Isère,2020-12-18T10:00:00+01:00,pm25,20.8,µg/m³
FR15039,Isère,2020-12-18T10:00:00+01:00,pm10,37.8,µg/m³
FR15039,Isère,2020-12-18T09:00:00+01:00,no2,56,µg/m³
FR15039,Isère,2020-12-18T09:00:00+01:00,pm25,21.5,µg/m³
FR15039,Isère,2020-12-18T09:00:00+01:00,pm10,30.6,µg/m³
FR15039,Isère,2020-12-18T08:00:00+01:00,no2,51.2,µg/m³
FR15039,Isère,2020-12-18T08:00:00+01:00,pm10,34.4,µg/m³
FR15039,Isère,2020-12-18T08:00:00+01:00,pm25,17.8,µg/m³
FR15039,Isère,2020-12-18T07:00:00+01:00,pm10,31.8,µg/m³
FR15039,Isère,2020-12-18T07:00:00+01:00,no2,46.9,µg/m³
FR15039,Isère,2020-12-18T07:00:00+01:00,pm25,19.9,µg/m³
FR15039,Isère,2020-12-18T06:00:00+01:00,pm25,17.9,µg/m³
FR15039,Isère,2020-12-18T06:00:00+01:00,pm10,22.9,µg/m³
FR15039,Isère,2020-12-18T06:00:00+01:00,no2,40.8,µg/m³
FR15039,Isère,2020-12-18T05:00:00+01:00,pm10,27.9,µg/m³
FR15039,Isère,2020-12-18T05:00:00+01:00,no2,31.1,µg/m³
FR15039,Isère,2020-12-18T05:00:00+01:00,pm25,20.4,µg/m³
FR15039,Isère,2020-12-18T04:00:00+01:00,no2,33,µg/m³
FR15039,Isère,2020-12-18T04:00:00+01:00,pm10,34.1,µg/m³
FR15039,Isère,2020-12-18T04:00:00+01:00,pm25,22.5,µg/m³
FR15039,Isère,2020-12-18T03:00:00+01:00,no2,33,µg/m³
FR15039,Isère,2020-12-18T03:00:00+01:00,pm10,30.5,µg/m³
FR15039,Isère,2020-12-18T03:00:00+01:00,pm25,22.9,µg/m³
FR15039,Isère,2020-12-18T02:00:00+01:00,no2,32.4,µg/m³
FR15039,Isère,2020-12-18T02:00:00+01:00,pm10,35.7,µg/m³
FR15039,Isère,2020-12-18T02:00:00+01:00,pm25,25.6,µg/m³
FR15039,Isère,2020-12-18T01:00:00+01:00,pm25,22.9,µg/m³
FR15039,Isère,2020-12-18T01:00:00+01:00,no2,37,µg/m³
FR15039,Isère,2020-12-18T01:00:00+01:00,pm10,34.1,µg/m³
FR15039,Isère,2020-12-18T00:00:00+01:00,pm25,21.6,µg/m³
FR15039,Isère,2020-12-18T00:00:00+01:00,pm10,39.2,µg/m³
FR15039,Isère,2020-12-18T00:00:00+01:00,no2,42.6,µg/m³
